Best Validation Accuracy:	0.87% at Epoch 58
Test Accuracy:	0.88%
Inference Speed:	10.98 samples/sec
Epoch	loss_t	accuracy_t	loss_v	accuracy_v
1	2.4236	0.7457	2.1366	0.7708
2	1.9204	0.7682	1.8545	0.7741
3	1.8483	0.7825	1.8006	0.7884
4	1.8022	0.7908	1.7605	0.7932
5	1.7679	0.7947	1.7391	0.7974
6	1.7453	0.7975	1.7104	0.8029
7	1.7195	0.8006	1.6876	0.8088
8	1.6925	0.8059	1.6591	0.8136
9	1.6558	0.8133	1.6332	0.8123
10	1.6334	0.8169	1.6092	0.8204
11	1.6096	0.8197	1.5781	0.8254
12	1.5885	0.8234	1.5655	0.8275
13	1.5777	0.8260	1.5711	0.8257
14	1.5631	0.8282	1.5405	0.8323
15	1.5502	0.8302	1.5203	0.8363
16	1.5342	0.8332	1.5106	0.8371
17	1.5315	0.8343	1.5046	0.8405
18	1.5154	0.8358	1.5081	0.8405
19	1.5100	0.8386	1.5108	0.8352
20	1.4940	0.8415	1.4824	0.8449
21	1.4898	0.8432	1.4821	0.8465
22	1.4819	0.8436	1.4593	0.8503
23	1.4745	0.8467	1.4883	0.8445
24	1.4672	0.8465	1.4275	0.8516
25	1.4008	0.8488	1.3352	0.8512
26	1.3470	0.8493	1.3257	0.8534
27	1.3367	0.8509	1.3283	0.8501
28	1.3294	0.8545	1.3273	0.8536
29	1.3205	0.8561	1.3278	0.8524
30	1.3166	0.8560	1.3271	0.8520
31	1.3114	0.8570	1.3204	0.8560
32	1.3115	0.8564	1.3084	0.8590
33	1.2986	0.8603	1.3260	0.8562
34	1.2994	0.8611	1.3129	0.8576
35	1.2863	0.8638	1.3174	0.8564
36	1.2773	0.8654	1.2977	0.8598
37	1.2786	0.8652	1.3141	0.8556
38	1.2777	0.8658	1.2980	0.8598
39	1.2617	0.8684	1.2957	0.8638
40	1.2570	0.8701	1.3096	0.8622
41	1.2593	0.8695	1.2943	0.8627
42	1.2498	0.8714	1.2922	0.8623
43	1.2424	0.8731	1.2988	0.8583
44	1.2327	0.8756	1.2864	0.8637
45	1.2333	0.8745	1.2795	0.8648
46	1.2252	0.8758	1.2904	0.8625
47	1.2184	0.8785	1.2988	0.8587
48	1.2229	0.8775	1.2935	0.8658
49	1.2118	0.8817	1.2842	0.8675
50	1.2017	0.8827	1.2748	0.8674
