Best Validation Accuracy:	0.87% at Epoch 64		model_9
Test Accuracy:	0.87%		dropout=0.3
Inference Speed:	10.96 samples/sec		batchsize=16
Epoch	loss_t	accuracy_t	loss_v	accuracy_v
1	2.4507	0.7414	2.0531	0.7716
2	1.9702	0.7679	1.9055	0.7723
3	1.8859	0.7760	1.8629	0.7837
4	1.8346	0.7870	1.8183	0.7931
5	1.8039	0.7915	1.7752	0.7994
6	1.7810	0.7945	1.7619	0.8024
7	1.7552	0.7975	1.7533	0.8002
8	1.7345	0.8012	1.7300	0.8049
9	1.7105	0.8030	1.6907	0.8094
10	1.6874	0.8077	1.6778	0.8139
11	1.6687	0.8111	1.6651	0.8130
12	1.6534	0.8149	1.6337	0.8212
13	1.6286	0.8185	1.6254	0.8202
14	1.6110	0.8219	1.5929	0.8254
15	1.6006	0.8235	1.5895	0.8280
16	1.5881	0.8245	1.5766	0.8284
17	1.5707	0.8299	1.5683	0.8290
18	1.5571	0.8306	1.5515	0.8312
19	1.5481	0.8325	1.5499	0.8355
20	1.5455	0.8318	1.5460	0.8338
21	1.5373	0.8350	1.5232	0.8405
22	1.5234	0.8362	1.5237	0.8401
23	1.4996	0.8369	1.4624	0.8415
24	1.4117	0.8388	1.3919	0.8400
25	1.3771	0.8404	1.3767	0.8422
26	1.3737	0.8412	1.3584	0.8443
27	1.3552	0.8448	1.3605	0.8462
28	1.3475	0.8458	1.3593	0.8467
29	1.3483	0.8475	1.3558	0.8484
30	1.3336	0.8518	1.3321	0.8492
31	1.3291	0.8528	1.3409	0.8504
32	1.3200	0.8533	1.3324	0.8508
33	1.3225	0.8528	1.3337	0.8512
34	1.3164	0.8555	1.3276	0.8514
35	1.3134	0.8544	1.3224	0.8534
36	1.3032	0.8576	1.3271	0.8539
37	1.3072	0.8563	1.3151	0.8574
38	1.2917	0.8611	1.3189	0.8574
39	1.2872	0.8614	1.3170	0.8592
40	1.2770	0.8638	1.3183	0.8574
41	1.2818	0.8639	1.3239	0.8575
42	1.2723	0.8647	1.3038	0.8574
43	1.2709	0.8654	1.3046	0.8567
44	1.2682	0.8653	1.3115	0.8554
45	1.2632	0.8678	1.3164	0.8541
46	1.2588	0.8693	1.3159	0.8559
47	1.2507	0.8688	1.3014	0.8574
48	1.2469	0.8714	1.2981	0.8602
49	1.2340	0.8736	1.2914	0.8621
50	1.2355	0.8743	1.2935	0.8615
51	1.2362	0.8730	1.2944	0.8633
52	1.2302	0.8732	1.3141	0.8584
53	1.2241	0.8755	1.2934	0.8612
54	1.2198	0.8766	1.2995	0.8599
55	1.2196	0.8774	1.2903	0.8627
56	1.2177	0.8774	1.3217	0.8639
57	1.2117	0.8772	1.2931	0.8601
58	1.2031	0.8797	1.2952	0.8622
59	1.2022	0.8795	1.3065	0.8625
60	1.2000	0.8807	1.2776	0.8657
61	1.1928	0.8838	1.3052	0.8626
62	1.1862	0.8843	1.3044	0.8628
63	1.1887	0.8847	1.3014	0.8617
64	1.1863	0.8843	1.2891	0.8666
65	1.1749	0.8860	1.3032	0.8611
66	1.1742	0.8863	1.2991	0.8638
67	1.1750	0.8881	1.2902	0.8653
68	1.1658	0.8901	1.3036	0.8649
69	1.1590	0.8920	1.3134	0.8650
70	1.1582	0.8920	1.3109	0.8648
71	1.1520	0.8921	1.2959	0.8663
72	1.1524	0.8928	1.3343	0.8602
73	1.1448	0.8948	1.3070	0.8644
74	1.1450	0.8942	1.3201	0.8654
75	1.1420	0.8973	1.3005	0.8645
76	1.1404	0.8966	1.2992	0.8651
77	1.1351	0.8975	1.3236	0.8640
78	1.1313	0.8995	1.3156	0.8664
79	1.1255	0.9000	1.3242	0.8655
80	1.1242	0.8995	1.3079	0.8653
