Best Validation Accuracy:	
Test Accuracy:	
Inference Speed:	
Epoch	loss_t	accuracy_t	loss_v	accuracy_v
1	4.7443	0.3179	4.5888	0.7500
2	3.6747	0.7048	2.6707	0.7704
3	2.7652	0.7418	2.2603	0.7735
4	2.3257	0.7663	2.1769	0.7748
5	2.1511	0.7711	2.1145	0.7713
6	2.0701	0.7710	2.0376	0.7710
7	2.0106	0.7705	1.9687	0.7739
8	1.9592	0.7728	1.9298	0.7741
9	1.9261	0.7741	1.8845	0.7789
10	1.8971	0.7760	1.8641	0.7790
11	1.8745	0.7788	1.8338	0.7866
12	1.8553	0.7806	1.8271	0.7905
13	1.8388	0.7833	1.8124	0.7905
14	1.8252	0.7856	1.8003	0.7916
15	1.8158	0.7863	1.7895	0.7958
16	1.8015	0.7885	1.7732	0.7968
17	1.7914	0.7905	1.7661	0.7998
18	1.7765	0.7932	1.7517	0.8010
19	1.7657	0.7978	1.7478	0.8023
20	1.7528	0.8007	1.7304	0.8035
21	1.7407	0.8020	1.7254	0.8059
22	1.7280	0.8051	1.7113	0.8077
23	1.7143	0.8082	1.7029	0.8113
24	1.7126	0.8087	1.6800	0.8113
25	1.6960	0.8113	1.6704	0.8198
26	1.6876	0.8133	1.6612	0.8209
27	1.6797	0.8139	1.6565	0.8212
28	1.6721	0.8151	1.6460	0.8232
29	1.6631	0.8177	1.6353	0.8268
30	1.6542	0.8213	1.6272	0.8296
31	1.6473	0.8213	1.6171	0.8311
32	1.6334	0.8239	1.6075	0.8319
33	1.6259	0.8272	1.6044	0.8334
34	1.6200	0.8267	1.5877	0.8343
35	1.6108	0.8285	1.5799	0.8367
36	1.6018	0.8296	1.5738	0.8376
37	1.5969	0.8308	1.5599	0.8389
38	1.5897	0.8336	1.5535	0.8395
39	1.5792	0.8348	1.5448	0.8414
40	1.5735	0.8354	1.5361	0.8437
41	1.5655	0.8369	1.5277	0.8439
42	1.5608	0.8375	1.5217	0.8461
43	1.5554	0.8386	1.5200	0.8464
44	1.5442	0.8401	1.5165	0.8471
45	1.5375	0.8423	1.5082	0.8489
46	1.5338	0.8426	1.5047	0.8483
47	1.5273	0.8443	1.5070	0.8475
48	1.5196	0.8454	1.4855	0.8527
49	1.5154	0.8456	1.4783	0.8524
50	1.5074	0.8462	1.4822	0.8529
51	1.4990	0.8482	1.4670	0.8557
52	1.4981	0.8481	1.4779	0.8519
53	1.4947	0.8502	1.4648	0.8562
54	1.4820	0.8516	1.4744	0.8539
55	1.4835	0.8513	1.4681	0.8559
56	1.4768	0.8523	1.4591	0.8561
57	1.4750	0.8518	1.4496	0.8594
58	1.4682	0.8547	1.4515	0.8572
59	1.4644	0.8557	1.4478	0.8598
60	1.4604	0.8560	1.4442	0.8616
61	1.4511	0.8580	1.4411	0.8596
62	1.4491	0.8589	1.4347	0.8631
63	1.4445	0.8596	1.4402	0.8618
64	1.4435	0.8597	1.4431	0.8600
65	1.4392	0.8607	1.4349	0.8616
66	1.4315	0.8629	1.4602	0.8598
67	1.4341	0.8619	1.4297	0.8634
68	1.4294	0.8632	1.4293	0.8643
69	1.4205	0.8646	1.4342	0.8628
70	1.4173	0.8642	1.4177	0.8654
71	1.4057	0.8685	1.4211	0.8662
72	1.4091	0.8677	1.4121	0.8654
73	1.4057	0.8692	1.4157	0.8662
74	1.4008	0.8697	1.4232	0.8672
75	1.3965	0.8704	1.4170	0.8659
76	1.3924	0.8713	1.4178	0.8674
77	1.3869	0.8713	1.4110	0.8674
78	1.3886	0.8727	1.4223	0.8635
79	1.3825	0.8735	1.4230	0.8678
80	1.3797	0.8728	1.4327	0.8642
81	1.3687	0.8757	1.4061	0.8680
82	1.3721	0.8761	1.4219	0.8681
83	1.3718	0.8761	1.4129	0.8668
84	1.3666	0.8766	1.4203	0.8659
85	1.3613	0.8779	1.4113	0.8692
86	1.3566	0.8780	1.4019	0.8686
87	1.3492	0.8818	1.4153	0.8686
88	1.3504	0.8803	1.4205	0.8689
89	1.3444	0.8814	1.4119	0.8684
90	1.3463	0.8822	1.4107	0.8692
91	1.3388	0.8841	1.4103	0.8687
92	1.3369	0.8841	1.4080	0.8679
93	1.3333	0.8847	1.4071	0.8703
94	1.3351	0.8848	1.4169	0.8697
95	1.3271	0.8860	1.4145	0.8675
96	1.3283	0.8851	1.4296	0.8659
97	1.3272	0.8857	1.4119	0.8693
98	1.3187	0.8878	1.4093	0.8705
99	1.3167	0.8888	1.4188	0.8710
100	1.3175	0.8890	1.4104	0.8702
