Best Validation Accuracy:	0.86% at Epoch 66		model_19
Test Accuracy:	0.90%		dropout_0.2
Inference Speed:	11.33 samples/sec
Epoch	loss_t	accuracy_t	loss_v	accuracy_v
1	2.3909	0.7478	1.9639	0.7696
2	1.8992	0.7727	1.8758	0.7801
3	1.8454	0.7832	1.8461	0.7857
4	1.8041	0.7884	1.8007	0.7932
5	1.7680	0.7930	1.8177	0.7890
6	1.7260	0.8018	1.6791	0.8032
7	1.4792	0.8024	1.4032	0.8040
8	1.3423	0.8054	1.3237	0.8134
9	1.3225	0.8105	1.3175	0.8124
10	1.2968	0.8145	1.3636	0.8082
11	1.2759	0.8183	1.2799	0.8167
12	1.2554	0.8217	1.2538	0.8225
13	1.2379	0.8253	1.2513	0.8218
14	1.2275	0.8264	1.2865	0.8243
15	1.2116	0.8300	1.2288	0.8280
16	1.1948	0.8348	1.2146	0.8309
17	1.1865	0.8362	1.2047	0.8347
18	1.1742	0.8388	1.1996	0.8304
19	1.1758	0.8376	1.1870	0.8401
20	1.1597	0.8415	1.1844	0.8372
21	1.1552	0.8428	1.2048	0.8307
22	1.1558	0.8432	1.1741	0.8381
23	1.1377	0.8458	1.1724	0.8395
24	1.1356	0.8453	1.1496	0.8405
25	1.1232	0.8487	1.1513	0.8452
26	1.1128	0.8519	1.1671	0.8390
27	1.1111	0.8528	1.1405	0.8413
28	1.1000	0.8540	1.1307	0.8482
29	1.1013	0.8550	1.1373	0.8442
30	1.0940	0.8557	1.1374	0.8475
31	1.0889	0.8567	1.1198	0.8481
32	1.0820	0.8576	1.1357	0.8487
33	1.0783	0.8588	1.1289	0.8475
34	1.0714	0.8619	1.1090	0.8512
35	1.0632	0.8632	1.1315	0.8498
36	1.0560	0.8643	1.1265	0.8514
37	1.0521	0.8653	1.1236	0.8524
38	1.0537	0.8648	1.1616	0.8478
39	1.0530	0.8647	1.1108	0.8568
40	1.0351	0.8683	1.1125	0.8545
41	1.0339	0.8700	1.1235	0.8538
42	1.0298	0.8715	1.1150	0.8533
43	1.0239	0.8728	1.1256	0.8513
44	1.0244	0.8718	1.1088	0.8551
45	1.0122	0.8732	1.0977	0.8578
46	1.0006	0.8780	1.1172	0.8522
47	1.0079	0.8766	1.1021	0.8574
48	1.0051	0.8779	1.1055	0.8551
49	0.9843	0.8810	1.1127	0.8580
50	0.9811	0.8814	1.1231	0.8557
51	0.9748	0.8841	1.1203	0.8570
52	0.9783	0.8824	1.1006	0.8587
53	0.9704	0.8844	1.1475	0.8565
54	0.9633	0.8868	1.1060	0.8583
55	0.9641	0.8863	1.1132	0.8587
56	0.9596	0.8873	1.1223	0.8569
57	0.9542	0.8883	1.1129	0.8585
58	0.9461	0.8907	1.1000	0.8597
59	0.9457	0.8909	1.1179	0.8591
60	0.9410	0.8938	1.1251	0.8586
61	0.9350	0.8940	1.1247	0.8604
62	0.9297	0.8955	1.1029	0.8593
63	0.9240	0.8962	1.1181	0.8609
64	0.9179	0.8982	1.1214	0.8604
65	0.9175	0.9001	1.1398	0.8576
66	0.9075	0.9008	1.1563	0.8625
67	0.9073	0.9011	1.1469	0.8561
68	0.9060	0.9010	1.1469	0.8593
69	0.9014	0.9026	1.1351	0.8590
70	0.8956	0.9039	1.1300	0.8604
71	0.8865	0.9055	1.1489	0.8568
72	0.8835	0.9065	1.1588	0.8596
73	0.8735	0.9092	1.1636	0.8615
74	0.8862	0.9056	1.1574	0.8582
75	0.8715	0.9089	1.1669	0.8602
76	0.8688	0.9109	1.1485	0.8592
77	0.8686	0.9104	1.1571	0.8590
78	0.8713	0.9104	1.2243	0.8590
79	0.8644	0.9123	1.1591	0.8605
80	0.8568	0.9125	1.1772	0.8584
