Best Validation Accuracy:	0.85% at Epoch 23		model_3
Test Accuracy:	0.86%
Inference Speed:	2.67 samples/sec
Epoch	loss_t	accuracy_t	loss_v	accuracy_v
1	0.0000	0.6423	1.3377	0.7599
2	0.0000	0.7574	1.0047	0.7600
3	0.0000	0.7742	0.9273	0.7742
4	0.0000	0.7887	0.9202	0.7876
5	0.0000	0.7962	0.8272	0.7950
6	0.0000	0.8006	0.7944	0.8040
7	0.0000	0.8088	0.8302	0.8036
8	0.0000	0.8192	0.7572	0.8130
9	0.0000	0.8270	0.7284	0.8235
10	0.0000	0.8349	0.6945	0.8294
11	0.0000	0.8418	0.6956	0.8317
12	0.0000	0.8468	0.6737	0.8320
13	0.0000	0.8493	0.6827	0.8341
14	0.0000	0.8527	0.6324	0.8407
15	0.0000	0.8579	0.6192	0.8424
16	0.0000	0.8609	0.6331	0.8389
17	0.0000	0.8629	0.6146	0.8421
18	0.0000	0.8678	0.6046	0.8490
19	0.0000	0.8702	0.6371	0.8430
20	0.0000	0.8740	0.6295	0.8470
21	0.0000	0.8777	0.6225	0.8513
22	0.0000	0.8801	0.5927	0.8506
23	0.0000	0.8818	0.5973	0.8514
24	0.0000	0.8910	0.6470	0.8487
25	0.0000	0.8903	0.6517	0.8459
