Best Validation Accuracy:	0.87% at Epoch 56		model_6
Test Accuracy:	0.87%		dropout=0.1
Inference Speed:	12.98 samples/sec
Epoch	loss_t	accuracy_t	loss_v	accuracy_v
1	2.1674	0.7609	1.9202	0.7729
2	1.8482	0.7847	1.8067	0.7911
3	1.7674	0.7946	1.7274	0.7966
4	1.7204	0.8029	1.6990	0.8019
5	1.6860	0.8085	1.6869	0.8071
6	1.6597	0.8123	1.7222	0.7991
7	1.6378	0.8169	1.6593	0.8091
8	1.6063	0.8218	1.5906	0.8257
9	1.5851	0.8258	1.5994	0.8216
10	1.5597	0.8297	1.5570	0.8324
11	1.5401	0.8327	1.5761	0.8281
12	1.5191	0.8365	1.5044	0.8400
13	1.5050	0.8395	1.5253	0.8317
14	1.4895	0.8418	1.5063	0.8369
15	1.4806	0.8452	1.4916	0.8433
16	1.4676	0.8480	1.4780	0.8484
17	1.4533	0.8522	1.4860	0.8443
18	1.4530	0.8509	1.4748	0.8474
19	1.4396	0.8551	1.4831	0.8480
20	1.4346	0.8551	1.4582	0.8522
21	1.4174	0.8567	1.4465	0.8456
22	1.3850	0.8588	1.4026	0.8498
23	1.3103	0.8598	1.3694	0.8476
24	1.2877	0.8630	1.3293	0.8566
25	1.2789	0.8660	1.3442	0.8523
26	1.2687	0.8668	1.3232	0.8585
27	1.2668	0.8682	1.3249	0.8550
28	1.2613	0.8679	1.3140	0.8583
29	1.2466	0.8723	1.3199	0.8581
30	1.2448	0.8732	1.3027	0.8602
31	1.2414	0.8727	1.3170	0.8561
32	1.2311	0.8746	1.3143	0.8568
33	1.2258	0.8762	1.3146	0.8617
34	1.2158	0.8788	1.3193	0.8597
35	1.2188	0.8775	1.3077	0.8608
36	1.2066	0.8813	1.3038	0.8622
37	1.2097	0.8797	1.3123	0.8597
38	1.1912	0.8839	1.3265	0.8580
39	1.1906	0.8842	1.3193	0.8583
40	1.1889	0.8857	1.3192	0.8609
41	1.1783	0.8883	1.3180	0.8606
42	1.1730	0.8888	1.3301	0.8546
43	1.1690	0.8901	1.3321	0.8613
44	1.1667	0.8904	1.3175	0.8624
45	1.1591	0.8927	1.3430	0.8580
46	1.1567	0.8936	1.3303	0.8594
47	1.1465	0.8952	1.3265	0.8575
48	1.1451	0.8954	1.3284	0.8604
49	1.1390	0.8977	1.3183	0.8650
50	1.1254	0.9010	1.3204	0.8619
51	1.1175	0.9033	1.3319	0.8643
52	1.1180	0.9027	1.3589	0.8639
53	1.1060	0.9062	1.3415	0.8621
54	1.1036	0.9074	1.3548	0.8623
55	1.0956	0.9085	1.3366	0.8635
56	1.0905	0.9104	1.3336	0.8687
57	1.0873	0.9119	1.3402	0.8623
58	1.0821	0.9124	1.3513	0.8639
59	1.0892	0.9111	1.3705	0.8673
60	1.0749	0.9147	1.3633	0.8634
61	1.0680	0.9166	1.3894	0.8618
62	1.0651	0.9177	1.3969	0.8564
63	1.0622	0.9185	1.3891	0.8598
64	1.0551	0.9202	1.3922	0.8613
65	1.0456	0.9225	1.4375	0.8610
66	1.0451	0.9239	1.3976	0.8616
67	1.0498	0.9214	1.3970	0.8640
68	1.0421	0.9237	1.4186	0.8591
69	1.0306	0.9270	1.4180	0.8640
70	1.0289	0.9273	1.4534	0.8585
